i,suite,case,SIM_SIZE,NO_FRUNCATE,SKIP_WARMUP,NO_SET,FILE_COUNT,SEED,DISK_SIZE,FS,PROG_SIZE,CHUNK,DISK_GEOMETRY,SIM_TIME,SIZE,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
37,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,4096,64,0,3600000000000,2097152,64,ctx,644736,0,0,0,0,0,0,512,5.478240
37,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,4096,64,0,3600000000000,2097152,64,heap,644736,0,0,0,0,0,0,8464,5.478265
37,bench_p26_wt,bench_p26_wt_random,0,0,0,0,32768,42,134217728,30,4096,64,0,3600000000000,2097152,64,usage,644736,0,0,0,0,0,0,3981312,5.478290
49,bench_p26_wt,bench_p26_wt_many,0,0,0,0,32768,42,134217728,30,2048,64,0,3600000000000,2097152,64,write,3871872,1583652380,610512,73100,1583652380,156291072,299417600,3600000324704,26.456236
49,bench_p26_wt,bench_p26_wt_many,0,0,0,0,32768,42,134217728,30,2048,64,0,3600000000000,2097152,64,stack,3871872,0,0,0,0,0,0,3312,26.456360
49,bench_p26_wt,bench_p26_wt_many,0,0,0,0,32768,42,134217728,30,2048,64,0,3600000000000,2097152,64,ctx,3871872,0,0,0,0,0,0,752,26.456418
49,bench_p26_wt,bench_p26_wt_many,0,0,0,0,32768,42,134217728,30,2048,64,0,3600000000000,2097152,64,heap,3871872,0,0,0,0,0,0,4368,26.456469
49,bench_p26_wt,bench_p26_wt_many,0,0,0,0,32768,42,134217728,30,2048,64,0,3600000000000,2097152,64,usage,3871872,0,0,0,0,0,0,27103232,26.456527
48,bench_p26_wt,bench_p26_wt_many,0,0,0,0,32768,42,134217728,30,1024,64,0,3600000000000,2097152,64,write,9023168,2290035557,841044,70398,2290035557,215307264,288350208,3600032899016,34.049647
48,bench_p26_wt,bench_p26_wt_many,0,0,0,0,32768,42,134217728,30,1024,64,0,3600000000000,2097152,64,stack,9023168,0,0,0,0,0,0,3312,34.049752
48,bench_p26_wt,bench_p26_wt_many,0,0,0,0,32768,42,134217728,30,1024,64,0,3600000000000,2097152,64,ctx,9023168,0,0,0,0,0,0,752,34.049808
48,bench_p26_wt,bench_p26_wt_many,0,0,0,0,32768,42,134217728,30,1024,64,0,3600000000000,2097152,64,heap,9023168,0,0,0,0,0,0,2320,34.049857
48,bench_p26_wt,bench_p26_wt_many,0,0,0,0,32768,42,134217728,30,1024,64,0,3600000000000,2097152,64,usage,9023168,0,0,0,0,0,0,32047104,34.049903
47,bench_p26_wt,bench_p26_wt_many,0,0,0,0,32768,42,134217728,30,512,64,0,3600000000000,2097152,64,write,21023232,3149716099,946094,68688,3149716099,242200064,281346048,3600016828536,44.122064
47,bench_p26_wt,bench_p26_wt_many,0,0,0,0,32768,42,134217728,30,512,64,0,3600000000000,2097152,64,stack,21023232,0,0,0,0,0,0,3312,44.122173
