i,suite,case,SIZE,FS,DISK_GEOMETRY,SEED,DISK_SIZE,SIM_SIZE,SIM_TIME,FILE_SIZE,NO_FRUNCATE,FILE_COUNT,CHUNK,NO_SET,SKIP_WARMUP,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
29,bench_p26_wt,bench_p26_wt_random,2048,32,1,42,134217728,0,3600000000000,64,1,32,64,0,0,write,173574464,87811372,5150230,20208,3437003964,2636917760,2648702976,3600003202548,56.351856
29,bench_p26_wt,bench_p26_wt_random,2048,32,1,42,134217728,0,3600000000000,64,1,32,64,0,0,stack,173574464,0,0,0,0,0,0,3280,56.351932
29,bench_p26_wt,bench_p26_wt_random,2048,32,1,42,134217728,0,3600000000000,64,1,32,64,0,0,ctx,173574464,0,0,0,0,0,0,608,56.351965
29,bench_p26_wt,bench_p26_wt_random,2048,32,1,42,134217728,0,3600000000000,64,1,32,64,0,0,heap,173574464,0,0,0,0,0,0,1296,56.351992
29,bench_p26_wt,bench_p26_wt_random,2048,32,1,42,134217728,0,3600000000000,64,1,32,64,0,0,usage,173574464,0,0,0,0,0,0,655360,56.352017
28,bench_p26_wt,bench_p26_wt_random,1024,32,1,42,134217728,0,3600000000000,64,1,16,64,0,0,write,213834752,77763013,6056037,23771,3690170339,3100690944,3115712512,3600003040217,59.498716
28,bench_p26_wt,bench_p26_wt_random,1024,32,1,42,134217728,0,3600000000000,64,1,16,64,0,0,stack,213834752,0,0,0,0,0,0,3280,59.498814
28,bench_p26_wt,bench_p26_wt_random,1024,32,1,42,134217728,0,3600000000000,64,1,16,64,0,0,ctx,213834752,0,0,0,0,0,0,608,59.498873
28,bench_p26_wt,bench_p26_wt_random,1024,32,1,42,134217728,0,3600000000000,64,1,16,64,0,0,heap,213834752,0,0,0,0,0,0,1296,59.498922
28,bench_p26_wt,bench_p26_wt_random,1024,32,1,42,134217728,0,3600000000000,64,1,16,64,0,0,usage,213834752,0,0,0,0,0,0,655360,59.498959
42,bench_p26_wt,bench_p26_wt_random,16777216,32,1,42,134217728,0,3600000000000,64,1,262144,64,0,0,write,11501248,114244163,2744932,11813,3023220685,1405405184,1548353536,3600871474231,24.154211
42,bench_p26_wt,bench_p26_wt_random,16777216,32,1,42,134217728,0,3600000000000,64,1,262144,64,0,0,stack,11501248,0,0,0,0,0,0,3200,24.154304
42,bench_p26_wt,bench_p26_wt_random,16777216,32,1,42,134217728,0,3600000000000,64,1,262144,64,0,0,ctx,11501248,0,0,0,0,0,0,608,24.154349
42,bench_p26_wt,bench_p26_wt_random,16777216,32,1,42,134217728,0,3600000000000,64,1,262144,64,0,0,heap,11501248,0,0,0,0,0,0,1296,24.154385
