i,suite,case,FS,SIM_SIZE,SKIP_WARMUP,DISK_SIZE,FILE_SIZE,CHUNK,DISK_GEOMETRY,SIM_TIME,SIZE,SEED,NO_SET,NO_FRUNCATE,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
32,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,16384,42,0,0,256,write,1329280,433110488,847730,71992,433110488,213614625,294879232,3600126849587,20.653854
32,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,16384,42,0,0,256,stack,1329280,0,0,0,0,0,0,1984,20.653980
32,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,16384,42,0,0,256,ctx,1329280,0,0,0,0,0,0,384,20.654039
32,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,16384,42,0,0,256,heap,1329280,0,0,0,0,0,0,784,20.654090
32,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,16384,42,0,0,256,usage,1329280,0,0,0,0,0,0,36864,20.654135
33,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,32768,42,0,0,512,write,827456,484029841,944614,71077,484029841,240031428,291131392,3600257773876,23.995096
33,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,32768,42,0,0,512,stack,827456,0,0,0,0,0,0,1984,23.995213
33,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,32768,42,0,0,512,ctx,827456,0,0,0,0,0,0,384,24.003510
33,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,32768,42,0,0,512,heap,827456,0,0,0,0,0,0,784,24.003573
33,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,32768,42,0,0,512,usage,827456,0,0,0,0,0,0,53248,24.003623
34,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,65536,42,0,0,1024,write,483392,528912338,1030334,70285,528912338,263109790,287887360,3601151599242,25.777177
34,bench_p26_wt,bench_p26_wt_random,2,0,0,134217728,64,64,0,3600000000000,65536,42,0,0,1024,stack,483392,0,0,0,0,0,0,1984,25.777277
