i,suite,case,SIM_TIME,FS,SIZE,SKIP_WARMUP,NO_FRUNCATE,FILE_COUNT,FILE_SIZE,DISK_GEOMETRY,CHUNK,SEED,SIM_SIZE,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
36,bench_p26_wt,bench_p26_wt_random,3600000000000,2,262144,0,0,4096,64,0,64,42,0,134217728,write,139072,560090452,1090512,69789,560090452,278840163,285855744,3604457170297,27.251344
36,bench_p26_wt,bench_p26_wt_random,3600000000000,2,262144,0,0,4096,64,0,64,42,0,134217728,stack,139072,0,0,0,0,0,0,1984,27.251443
36,bench_p26_wt,bench_p26_wt_random,3600000000000,2,262144,0,0,4096,64,0,64,42,0,134217728,ctx,139072,0,0,0,0,0,0,384,27.251494
36,bench_p26_wt,bench_p26_wt_random,3600000000000,2,262144,0,0,4096,64,0,64,42,0,134217728,heap,139072,0,0,0,0,0,0,784,27.251538
36,bench_p26_wt,bench_p26_wt_random,3600000000000,2,262144,0,0,4096,64,0,64,42,0,134217728,usage,139072,0,0,0,0,0,0,282624,27.251591
38,bench_p26_wt,bench_p26_wt_random,3600000000000,2,1048576,0,0,16384,64,0,64,42,0,134217728,write,35712,572609213,1113118,69819,572609213,284875042,285978624,3615467836686,27.357853
38,bench_p26_wt,bench_p26_wt_random,3600000000000,2,1048576,0,0,16384,64,0,64,42,0,134217728,stack,35712,0,0,0,0,0,0,1984,27.357943
38,bench_p26_wt,bench_p26_wt_random,3600000000000,2,1048576,0,0,16384,64,0,64,42,0,134217728,ctx,35712,0,0,0,0,0,0,384,27.357999
38,bench_p26_wt,bench_p26_wt_random,3600000000000,2,1048576,0,0,16384,64,0,64,42,0,134217728,heap,35712,0,0,0,0,0,0,784,27.358040
38,bench_p26_wt,bench_p26_wt_random,3600000000000,2,1048576,0,0,16384,64,0,64,42,0,134217728,usage,35712,0,0,0,0,0,0,1069056,27.358084
37,bench_p26_wt,bench_p26_wt_random,3600000000000,2,524288,0,0,8192,64,0,64,42,0,134217728,write,68864,566074144,1101372,69612,566074144,281837842,285130752,3601134101846,27.503524
37,bench_p26_wt,bench_p26_wt_random,3600000000000,2,524288,0,0,8192,64,0,64,42,0,134217728,stack,68864,0,0,0,0,0,0,1984,27.503586
37,bench_p26_wt,bench_p26_wt_random,3600000000000,2,524288,0,0,8192,64,0,64,42,0,134217728,ctx,68864,0,0,0,0,0,0,384,27.503620
37,bench_p26_wt,bench_p26_wt_random,3600000000000,2,524288,0,0,8192,64,0,64,42,0,134217728,heap,68864,0,0,0,0,0,0,784,27.503646
37,bench_p26_wt,bench_p26_wt_random,3600000000000,2,524288,0,0,8192,64,0,64,42,0,134217728,usage,68864,0,0,0,0,0,0,544768,27.503671
40,bench_p26_wt,bench_p26_wt_random,3600000000000,2,4194304,0,0,65536,64,0,64,42,0,134217728,write,9216,581106269,1128744,70633,581106269,288942437,289312768,3658766305543,22.622687
40,bench_p26_wt,bench_p26_wt_random,3600000000000,2,4194304,0,0,65536,64,0,64,42,0,134217728,stack,9216,0,0,0,0,0,0,1984,22.622777
40,bench_p26_wt,bench_p26_wt_random,3600000000000,2,4194304,0,0,65536,64,0,64,42,0,134217728,ctx,9216,0,0,0,0,0,0,384,22.631281
40,bench_p26_wt,bench_p26_wt_random,3600000000000,2,4194304,0,0,65536,64,0,64,42,0,134217728,heap,9216,0,0,0,0,0,0,784,22.631352
40,bench_p26_wt,bench_p26_wt_random,3600000000000,2,4194304,0,0,65536,64,0,64,42,0,134217728,usage,9216,0,0,0,0,0,0,4202496,22.631391
41,bench_p26_wt,bench_p26_wt_random,3600000000000,2,8388608,0,0,131072,64,0,64,42,0,134217728,write,4352,574299585,1117070,69850,574299585,285964195,286105600,3618532409665,19.507510
41,bench_p26_wt,bench_p26_wt_random,3600000000000,2,8388608,0,0,131072,64,0,64,42,0,134217728,stack,4352,0,0,0,0,0,0,1984,19.507584
41,bench_p26_wt,bench_p26_wt_random,3600000000000,2,8388608,0,0,131072,64,0,64,42,0,134217728,ctx,4352,0,0,0,0,0,0,384,19.507620
41,bench_p26_wt,bench_p26_wt_random,3600000000000,2,8388608,0,0,131072,64,0,64,42,0,134217728,heap,4352,0,0,0,0,0,0,784,19.507650
41,bench_p26_wt,bench_p26_wt_random,3600000000000,2,8388608,0,0,131072,64,0,64,42,0,134217728,usage,4352,0,0,0,0,0,0,8245248,19.507678
42,bench_p26_wt,bench_p26_wt_random,3600000000000,2,16777216,0,0,262144,64,0,64,42,0,134217728,write,2624,576359394,1123279,70217,576359394,287550566,287608832,3637643844578,18.780581
42,bench_p26_wt,bench_p26_wt_random,3600000000000,2,16777216,0,0,262144,64,0,64,42,0,134217728,stack,2624,0,0,0,0,0,0,1984,18.780650
42,bench_p26_wt,bench_p26_wt_random,3600000000000,2,16777216,0,0,262144,64,0,64,42,0,134217728,ctx,2624,0,0,0,0,0,0,384,18.780682
42,bench_p26_wt,bench_p26_wt_random,3600000000000,2,16777216,0,0,262144,64,0,64,42,0,134217728,heap,2624,0,0,0,0,0,0,784,18.780709
